20180704222639: STARTING DL Thread
20180704222644: START Frame Decoder Thread
20180704222644: START TNC Decoder Thread
20180704222650: Adding Event: OK AC2CZ.
20180704222651: Adding Event: OK AC2CZ.
20180704222658: Adding Event: OK AC2CZ.
20180704222709: Adding Event: PB: AC2CZ\D.
20180704222710: Adding Event: PB: KB2M AC2CZ.
20180704222712: Adding Event: OK AC2CZ.
20180704222715: Adding Event: PB: K4KDR.
20180704222719: Adding Event: OK AC2CZ.
20180704222723: EXIT Frame Decoder Thread
20180704222723: Window Closed
20180704223746: STARTING DL Thread
20180704223746: START Frame Decoder Thread
20180704223746: Adding Event: PB: Empty..
20180704223746: Adding Event: OK N2SPI.
20180704223746: Adding Event: PB: N2SPI\D.
20180704223747: Adding Event: PB: Empty..
20180704223747: Adding Event: PB: Empty..
20180704223747: Adding Event: PB: Empty..
20180704223747: Adding Event: PB: Empty..
20180704223747: Adding Event: Open ABCD: 
20180704223747: Adding Event: PB: Empty..
20180704223747: Adding Event: PB: Empty..
20180704223748: Adding Event: PB: Empty..
20180704223748: Adding Event: OK N8MH.
20180704223748: Adding Event: PB: N8MH\D.
20180704223748: Adding Event: PB: Empty..
20180704223749: Adding Event: PB: Empty..
20180704223749: Adding Event: OK N8MH.
20180704223749: Adding Event: PB: N8MH\D.
20180704223749: Adding Event: OK N8MH.
20180704223751: Adding Event: PB: N8MH.
20180704223752: Adding Event: PB: Empty..
20180704223752: Adding Event: OK N8MH.
20180704223752: Adding Event: PB: N8MH.
20180704223752: Adding Event: PB: Empty..
20180704223752: Adding Event: OK N8MH.
20180704223752: Adding Event: PB: N8MH.
20180704223752: Adding Event: PB: Empty..
20180704223753: Adding Event: Open ABCD: 
20180704223753: Adding Event: PB: Empty..
20180704223753: Adding Event: PB: Empty..
20180704223753: Adding Event: PB: Empty..
20180704223753: Adding Event: PB: Empty..
20180704223753: Adding Event: PB: Empty..
20180704223753: Adding Event: PB: Empty..
20180704223753: Adding Event: Open ABCD: 
20180704223753: Adding Event: PB: Empty..
20180704223754: Adding Event: PB: Empty..
20180704223754: Adding Event: PB: Empty..
20180704223755: Adding Event: PB: Empty..
20180704223755: Adding Event: PB: Empty..
20180704223755: Adding Event: Open ABCD: 
20180704223755: Adding Event: PB: Empty..
20180704223755: Adding Event: PB: Empty..
20180704223757: STARTING DL Thread
20180704223757: START Frame Decoder Thread
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: OK N2SPI.
20180704223757: Adding Event: PB: N2SPI\D.
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: Open ABCD: 
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: OK N8MH.
20180704223757: Adding Event: PB: N8MH\D.
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: PB: Empty..
20180704223757: Adding Event: OK N8MH.
20180704223757: Adding Event: PB: N8MH\D.
20180704223757: Adding Event: OK N8MH.
20180704223757: Adding Event: PB: N8MH.
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: OK N8MH.
20180704223758: Adding Event: PB: N8MH.
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: OK N8MH.
20180704223758: Adding Event: PB: N8MH.
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: Open ABCD: 
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: Open ABCD: 
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: Open ABCD: 
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: Open ABCD: 
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: Open ABCD: 
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: Open ABCD: 
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: Open ABCD: 
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: Open ABCD: 
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: Adding Event: PB: Empty..
20180704223758: EXIT DL Thread
20180704223813: STARTING DL Thread
20180704223813: START Frame Decoder Thread
20180704223813: Adding Event: PB: Empty..
20180704223813: Adding Event: OK N2SPI.
20180704223813: Adding Event: PB: N2SPI\D.
20180704223813: Adding Event: PB: Empty..
20180704223814: Adding Event: PB: Empty..
20180704223814: Adding Event: PB: Empty..
20180704223814: Adding Event: PB: Empty..
20180704223814: Adding Event: Open ABCD: 
20180704223814: Adding Event: PB: Empty..
20180704223814: Adding Event: PB: Empty..
20180704223815: Adding Event: PB: Empty..
20180704223815: Adding Event: OK N8MH.
20180704223815: Adding Event: PB: N8MH\D.
20180704223815: Adding Event: PB: Empty..
20180704223816: Adding Event: PB: Empty..
20180704223816: Adding Event: OK N8MH.
20180704223816: Adding Event: PB: N8MH\D.
20180704223816: Adding Event: OK N8MH.
20180704223818: Adding Event: PB: N8MH.
20180704223819: Adding Event: PB: Empty..
20180704223819: Adding Event: OK N8MH.
20180704223819: Adding Event: PB: N8MH.
20180704223819: Adding Event: PB: Empty..
20180704223819: Adding Event: OK N8MH.
20180704223819: Adding Event: PB: N8MH.
20180704223819: Adding Event: PB: Empty..
20180704223819: Adding Event: Open ABCD: 
20180704223819: Adding Event: PB: Empty..
20180704223819: Adding Event: PB: Empty..
20180704223820: Adding Event: PB: Empty..
20180704223820: Adding Event: PB: Empty..
20180704223820: Adding Event: PB: Empty..
20180704223820: Adding Event: PB: Empty..
20180704223820: Adding Event: Open ABCD: 
20180704223820: Adding Event: PB: Empty..
20180704223820: Adding Event: PB: Empty..
20180704223821: Adding Event: PB: Empty..
20180704223822: Adding Event: PB: Empty..
20180704223822: Adding Event: PB: Empty..
20180704223822: Adding Event: Open ABCD: 
20180704223822: Adding Event: PB: Empty..
20180704223822: Adding Event: PB: Empty..
20180704223822: Adding Event: PB: Empty..
20180704223822: Adding Event: PB: Empty..
20180704223822: Adding Event: PB: Empty..
20180704223823: Adding Event: Open ABCD: 
20180704223823: Adding Event: PB: Empty..
20180704223823: Adding Event: PB: Empty..
20180704223823: Adding Event: PB: Empty..
20180704223824: Adding Event: PB: Empty..
20180704223824: Adding Event: PB: Empty..
20180704223824: Adding Event: Open ABCD: 
20180704223824: Adding Event: PB: Empty..
20180704223824: Adding Event: PB: Empty..
20180704223825: Adding Event: PB: Empty..
20180704223825: Adding Event: PB: Empty..
20180704223826: Adding Event: PB: Empty..
20180704223826: Adding Event: Open ABCD: 
20180704223826: Adding Event: PB: Empty..
20180704223826: Adding Event: PB: Empty..
20180704223827: Adding Event: PB: Empty..
20180704223827: Adding Event: PB: Empty..
20180704223827: Adding Event: Open ABCD: 
20180704223827: Adding Event: PB: Empty..
20180704223828: Adding Event: PB: Empty..
20180704223828: Adding Event: PB: Empty..
20180704223828: Adding Event: PB: Empty..
20180704223828: Adding Event: PB: Empty..
20180704223828: Adding Event: Open ABCD: 
20180704223828: Adding Event: PB: Empty..
20180704223829: Adding Event: PB: Empty..
20180704223829: Adding Event: PB: Empty..
20180704223829: Adding Event: PB: Empty..
20180704223829: Adding Event: PB: Empty..
20180704223829: EXIT DL Thread
20180704223855: START Frame Decoder Thread
20180704223855: STARTING DL Thread
20180704223855: Adding Event: PB: Empty..
20180704223855: Adding Event: OK N2SPI.
20180704223855: Adding Event: PB: N2SPI\D.
20180704223855: Adding Event: PB: Empty..
20180704223855: Adding Event: PB: Empty..
20180704223855: Adding Event: PB: Empty..
20180704223856: Adding Event: PB: Empty..
20180704223856: Adding Event: Open ABCD: 
20180704223856: Adding Event: PB: Empty..
20180704223856: Adding Event: PB: Empty..
20180704223856: Adding Event: PB: Empty..
20180704223856: Adding Event: OK N8MH.
20180704223856: Adding Event: PB: N8MH\D.
20180704223857: Adding Event: PB: Empty..
20180704223857: Adding Event: PB: Empty..
20180704223857: Adding Event: OK N8MH.
20180704223857: Adding Event: PB: N8MH\D.
20180704223858: Adding Event: OK N8MH.
20180704223900: Adding Event: PB: N8MH.
20180704223900: Adding Event: PB: Empty..
20180704223900: Adding Event: OK N8MH.
20180704223900: Adding Event: PB: N8MH.
20180704223901: Adding Event: PB: Empty..
20180704223901: Adding Event: OK N8MH.
20180704223901: Adding Event: PB: N8MH.
20180704223901: Adding Event: PB: Empty..
20180704223901: Adding Event: Open ABCD: 
20180704223901: Adding Event: PB: Empty..
20180704223901: Adding Event: PB: Empty..
20180704223901: Adding Event: PB: Empty..
20180704223901: Adding Event: PB: Empty..
20180704223902: Adding Event: PB: Empty..
20180704223902: Adding Event: PB: Empty..
20180704223902: Adding Event: Open ABCD: 
20180704223902: Adding Event: PB: Empty..
20180704223902: Adding Event: PB: Empty..
20180704223902: Adding Event: PB: Empty..
20180704223903: Adding Event: PB: Empty..
20180704223903: Adding Event: PB: Empty..
20180704223903: Adding Event: Open ABCD: 
20180704223903: Adding Event: PB: Empty..
20180704223904: Adding Event: PB: Empty..
20180704223904: Adding Event: PB: Empty..
20180704223904: Adding Event: PB: Empty..
20180704223904: Adding Event: PB: Empty..
20180704223905: Adding Event: Open ABCD: 
20180704223905: Adding Event: PB: Empty..
20180704223905: Adding Event: PB: Empty..
20180704223905: Adding Event: PB: Empty..
20180704223905: Adding Event: PB: Empty..
20180704223905: Adding Event: PB: Empty..
20180704223906: Adding Event: Open ABCD: 
20180704223906: Adding Event: PB: Empty..
20180704223906: Adding Event: PB: Empty..
20180704223906: Adding Event: PB: Empty..
20180704223907: Adding Event: PB: Empty..
20180704223907: Adding Event: PB: Empty..
20180704223907: Adding Event: Open ABCD: 
20180704223908: Adding Event: PB: Empty..
20180704223908: Adding Event: PB: Empty..
20180704223909: Adding Event: PB: Empty..
20180704223909: Adding Event: PB: Empty..
20180704223909: Adding Event: Open ABCD: 
20180704223909: Adding Event: PB: Empty..
20180704223909: Adding Event: PB: Empty..
20180704223909: Adding Event: PB: Empty..
20180704223909: Adding Event: PB: Empty..
20180704223909: Adding Event: PB: Empty..
20180704223910: Adding Event: Open ABCD: 
20180704223910: Adding Event: PB: Empty..
20180704223910: Adding Event: PB: Empty..
20180704223910: Adding Event: PB: Empty..
20180704223910: Adding Event: PB: Empty..
20180704223910: Adding Event: PB: Empty..
20180704223910: EXIT Frame Decoder Thread
20180704223910: EXIT DL Thread
20180704233446: START Frame Decoder Thread
20180704233446: STARTING DL Thread
20180704233446: Adding Event: PB: Empty..
20180704233446: Adding Event: OK N2SPI.
20180704233446: Adding Event: PB: N2SPI\D.
20180704233446: Adding Event: PB: Empty..
20180704233447: Adding Event: PB: Empty..
20180704233447: Adding Event: PB: Empty..
20180704233447: Adding Event: PB: Empty..
20180704233447: Adding Event: Open ABCD: 
20180704233447: Adding Event: PB: Empty..
20180704233447: Adding Event: PB: Empty..
20180704233448: Adding Event: PB: Empty..
20180704233448: Adding Event: OK N8MH.
20180704233448: Adding Event: PB: N8MH\D.
20180704233448: Adding Event: PB: Empty..
