32,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,long,timestamp,32,Sec,0,NONE,0,0,0,timestamp,This is the unix time in seconds
1,byte,Mode,8,-,7,Controller,1,1,0,Mode,IORS Control Mode
2,byte,StatusPeriod,16,Sec,2,Controller,1,2,0,Status Period,Time between status packets
3,byte,TimePeriod,16,Sec,2,Controller,1,3,0,Time Period,Time between time packets
4,byte,TelemPeriod,16,Sec,2,Controller,1,4,0,Telem Period,Time between telem packets
5,byte,WodPeriod,16,Sec,2,Controller,1,5,0,WOD Period,Time between WOD entries
6,byte,MaxWodFileSize,16,KB,2,Controller,1,6,0,Max Wod Size,The maximum size of a WOD file before it is automatically rolled
7,byte,LogLevel,8,-,23,Controller,1,8,0,Log Level,The current logging level
8,byte,SdDriveUse,8,%,2,Computer,2,8,0,Disk Used,"Disk space used on File System, usually the SD card (or overlay). This matches the USB drive if it is mounted."
9,byte,CmdKey,8,-,2,Computer,2,6,0,Cmd Key ,The command key number currently being used
10,byte,SchedEntries,8,-,2,Computer,2,7,0,Scheduled Tasks,The number of tasks in the schedule
11,byte,CrewModePeriod,16,Sec,2,Controller,1,7,0,Crew Mode Period,The length of time the PI is disabled when Crew Mode enabled
12,byte,UsbDriveUse,8,%,2,Computer,2,9,0,USB Used,Disk space used on USB drive.
13,int,IHUTemp,16,C,9,Computer,2,1,0,Temperature,Computer temperature
14,byte,IHUProcSpeed,8,GHz,5,Computer,2,2,0,Speed,Computer processor speed
15,int,CpuResets,16,-,2,Computer,2,3,0,CPU Resets,Number of times the CPU has rebooted
16,int,ControlResets,16,-,2,Computer,2,4,0,Controller Resets,Number of times IORS Control has restarted
17,int,ResetReason,8,-,22,Computer,2,5,0,Reset Reason,Last reason IORS Control restarted
18,int,Psu12V,16,V,8,Power Supply,3,1,0,13.8,Power supply voltage
19,int,Psu12I,16,mA,2,Power Supply,3,2,0,13.8,Power supply voltage
20,int,Psu5V,16,V,8,Power Supply,3,3,0,5,Power supply current
21,int,Psu5I,16,mA,2,Power Supply,3,4,0,5,Battery Current
22,byte,RadioChannels,8,-,2,Controller,1,9,0,Radio Channels,Number of radio channels available
23,byte,SoossSamplePeriod,16,Sec,2,SOOSS,4,1,0,Sample Period,The period that samples are taken from all the sensors
24,byte,SoossWodPeriod,16,Sec,2,SOOSS,4,2,0,Wod Period,The frequency that WOD file entries are saved
25,byte,SoossMaxWodSize,16,KB,2,SOOSS,4,3,0,Max Wod File Size,The maximum size of a WOD file before it is automatically rolled
26,byte,SoossMaxCwSize,16,KB,2,SOOSS,4,4,0,Max Det File Size,The maximum size of a Muon Detector file before it is automatically rolled
27,byte,SoossMaxMicSize,16,KB,2,SOOSS,4,5,0,Max Mic File Size,The maximum size of a Microphone data file before it is automatically rolled
28,byte,SoossLogLevel,8,-,23,SOOSS,4,6,0,Log Level,The current logging level for the sensors
29,byte,SdOverlayRoot,1,-,1,Computer,2,10,0,OverlayRoot,True if the overlay root filessystem is in place and the SD card is protected.
30,byte,UsbBoot,1,-,1,Computer,2,11,0,USB Boot,True if the system booted from the USB drive rather than the SD card.
31,byte,pad1,6,-,0,NONE,0,0,0,None,None
