12,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,long,timestamp,32,Sec,0,NONE,0,0,0,timestamp,This is the unix time in seconds
1,long,LPS22_pressure,32,hPa,15,Sensors,1,1,0,Pressure,Pressure inside the enclosure
2,int,LPS22_temp,16,C,16,Sensors,1,2,0,LPS22 Temp,Temperature of the pressure sensor
3,int,SHTC3_temp,16,C,13,Sensors,1,3,0,Temperature,Temperature inside the enclosure
4,int,SHTC3_humidity,16,%,14,Sensors,1,4,0,Humidity,Humidity inside the enclosure
5,int,light_level,8,-,2,Sensors,1,5,0,Light Level,
6,bit,Pad1,8,-,25,NONE,0,0,0,None,None
7,int,light_RGB,32,-,2,Sensors,1,6,0,Light RGB,
8,bit,TempHumidityValid,2,-,25,Sensors,1,7,0,Temp/Humidity,The state of the temperature and humidity sensor
9,bit,PressureValid,2,-,25,Sensors,1,8,0,Pressure,The state of the pressure sensor
10,bit,ColorValid,2,-,25,Sensors,1,9,0,Light/Color,The state of the light level and color sensor
11,bit,Pad2,2,-,25,NONE,0,0,0,None,None
