137,Type,Field,Bytes,Units,Conversion,Module,ModuleNumber,ModuleLine,ModuleType,ShortName,Description
0,int,0,2,V,0,Telem 1,1,1,0,Spare,Spare
1,int,1,2,A,1,Telem 1,1,2,0,Spare,Spare
2,int,2,2,A,2,Telem 1,1,3,0,Spare,Spare
3,int,3,2,A,3,Telem 1,1,4,0,Bat V,Bat V
4,int,4,2,A,4,Telem 1,1,5,0,Cell 5 V,Cell 5 V
5,int,5,2,A,5,Telem 1,1,6,0,Cell 4 V,Cell 4 V
6,int,6,2,C,6,Telem 1,1,7,0,Cell 3 V,Cell 3 V
7,int,7,2,V,7,Telem 1,1,8,0,Cell 2 V,Cell 2 V
8,int,8,2,V,8,Telem 1,1,9,0,Cell 1 V,Cell 1 V
9,int,9,2,V,9,Telem 1,1,10,0,4.6V Exp I,4.6V Exp I
10,int,A,2,s,10,Telem 2,2,1,0,4.6V Exp V,4.6V Exp V
11,int,B,2,s,11,Telem 2,2,2,0,3.3V I,3.3V I
12,int,C,2,-,12,Telem 2,2,3,0,3.3V V,3.3V V
13,int,D,2,-,13,Telem 2,2,4,0,Total Array I,Total Array I
14,int,E,2,-,14,Telem 2,2,5,0,Total Array V,Total Array V
15,int,F,2,-,15,Telem 2,2,6,0, +X I, +X I
16,int,10,2,-,16,Telem 2,2,7,0, -X I, -X I
17,int,11,2,-,17,Telem 2,2,8,0, +Y I, +Y I
18,int,12,2,-,18,Telem 2,2,9,0, -Y I, -Y I
19,int,13,2,-,19,Telem 2,2,10,0,Spare,Spare
20,int,14,2,-,20,Telem 3,3,1,0,Spare,Spare
21,int,15,2,-,21,Telem 3,3,2,0, +X V, +X V
22,int,16,2,-,22,Telem 3,3,3,0, -X V, -X V
23,int,17,2,-,23,Telem 3,3,4,0, +Y V, +Y V
24,int,18,2,-,24,Telem 3,3,5,0, -Y V, -Y V
25,int,19,2,-,25,Telem 3,3,6,0,Cell 7 V,Cell 7 V
26,int,1A,2,-,26,Telem 3,3,7,0,Cell 6 V,Cell 6 V
27,int,1B,2,-,27,Telem 3,3,8,0,LVP I,LVP I
28,int,1C,2,-,28,Telem 3,3,9,0,Bat I,Bat I
29,int,1D,2,-,29,Telem 3,3,10,0,U TX I,U TX I
