147,Type,Field,Bits,Units,Conversion,Module,ModuleNumber,ModuleLine,ModuleType,ShortName,Description
0,0,Start_Byte,8,-,0,None,0,0,0,Start_Byte,Start_Byte
1,uint8,OBC_boot_image,8,-,0,None,0,0,0,Boot Image,OBC Boot Image
2,Uint32,On-board_time,32,-,0,Status,1,1,0,On-board_time,On-board_time
3,Uint32,Uptime,32,-,0,Status,1,2,0,Uptime,Uptime
4,Uint32,Spacecraft_mode,3,-,0,None,0,0,0,Spacecraft_mode,Spacecraft_mode
5,Uint4,Seperation_sequence_state,4,-,0,None,0,0,0,Seperation_sequence_state,Seperation_sequence_state
6,Bit4,Solar_array_deployment_state_0,4,-,0,None,0,0,0,Solar_array_deployment_state_0,Solar_array_deployment_state_0
7,Bit4,Solar_array_deployment_state_1,4,-,0,None,0,0,0,Solar_array_deployment_state_1,Solar_array_deployment_state_1
8,Bit4,Solar_array_deployment_state_2,4,-,0,None,0,0,0,Solar_array_deployment_state_2,Solar_array_deployment_state_2
9,Bit4,Solar_array_deployment_state_3,4,-,0,None,0,0,0,Solar_array_deployment_state_3,Solar_array_deployment_state_3
10,Bit16,Antenna_deployment_state_0,16,-,0,None,0,0,0,Antenna_deployment_state_0,Antenna_deployment_state_0
11,Bit16,Antenna_deployment_state_1,16,-,0,None,0,0,0,Antenna_deployment_state_1,Antenna_deployment_state_1
12,Bit16,Antenna_deployment_state_2,16,-,0,None,0,0,0,Antenna_deployment_state_2,Antenna_deployment_state_2
13,Bit16,Antenna_deployment_state_3,16,-,0,None,0,0,0,Antenna_deployment_state_3,Antenna_deployment_state_3
14,Bit16,Antenna_deployment_state_4,16,-,0,None,0,0,0,Antenna_deployment_state_4,Antenna_deployment_state_4
15,Bit16,Antenna_deployment_state_5,16,-,0,None,0,0,0,Antenna_deployment_state_5,Antenna_deployment_state_5
16,Bit16,Antenna_deployment_state_6,16,-,0,None,0,0,0,Antenna_deployment_state_6,Antenna_deployment_state_6
17,Bit16,Antenna_deployment_state_7,16,-,0,None,0,0,0,Antenna_deployment_state_7,Antenna_deployment_state_7
18,Uint8,ADM_soft_fire_counter,8,-,0,None,0,0,0,ADM_soft_fire_counter,ADM_soft_fire_counter
19,Unit8,ADM_hard_fire_counter,8,-,0,None,0,0,0,ADM_hard_fire_counter,ADM_hard_fire_counter
20,Raw10,ADM_telemetry_0,80,-,0,None,0,0,0,ADM_telemetry_0,ADM_telemetry_0
21,Raw10,ADM_telemetry_1,80,-,0,None,0,0,0,ADM_telemetry_1,ADM_telemetry_1
22,Raw10,ADM_telemetry_2,80,-,0,None,0,0,0,ADM_telemetry_2,ADM_telemetry_2
23,Raw10,ADM_telemetry_3,80,-,0,None,0,0,0,ADM_telemetry_3,ADM_telemetry_3
24,Raw10,ADM_telemetry_4,80,-,0,None,0,0,0,ADM_telemetry_4,ADM_telemetry_4
25,Raw10,ADM_telemetry_5,80,-,0,None,0,0,0,ADM_telemetry_5,ADM_telemetry_5
26,Raw10,ADM_telemetry_6,80,-,0,None,0,0,0,ADM_telemetry_6,ADM_telemetry_6
27,Raw10,ADM_telemetry_7,80,-,0,None,0,0,0,ADM_telemetry_7,ADM_telemetry_7
28,Raw10,ADM_telemetry_8,80,-,0,None,0,0,0,ADM_telemetry_8,ADM_telemetry_8
29,Raw10,ADM_telemetry_9,80,-,0,None,0,0,0,ADM_telemetry_9,ADM_telemetry_9
30,Uint5,SADM_check_counter,5,-,0,None,0,0,0,SADM_check_counter,SADM_check_counter
31,Raw8,SADM_telemetry_0,64,-,0,None,0,0,0,SADM_telemetry_0,SADM_telemetry_0
32,Raw8,SADM_telemetry_1,64,-,0,None,0,0,0,SADM_telemetry_1,SADM_telemetry_1
33,Raw8,SADM_telemetry_2,64,-,0,None,0,0,0,SADM_telemetry_2,SADM_telemetry_2
34,Raw8,SADM_telemetry_3,64,-,0,None,0,0,0,SADM_telemetry_3,SADM_telemetry_3
35,Raw8,SADM_telemetry_4,64,-,0,None,0,0,0,SADM_telemetry_4,SADM_telemetry_4
36,Raw8,SADM_telemetry_5,64,-,0,None,0,0,0,SADM_telemetry_5,SADM_telemetry_5
37,Raw8,SADM_telemetry_6,64,-,0,None,0,0,0,SADM_telemetry_6,SADM_telemetry_6
38,Raw8,SADM_telemetry_7,64,-,0,None,0,0,0,SADM_telemetry_7,SADM_telemetry_7
39,Raw8,SADM_telemetry_8,64,-,0,None,0,0,0,SADM_telemetry_8,SADM_telemetry_8
40,Raw8,SADM_telemetry_9,64,-,0,None,0,0,0,SADM_telemetry_9,SADM_telemetry_9
41,Uint32,I2C_nack_addr_count,32,-,0,None,0,0,0,I2C_nack_addr_count,I2C_nack_addr_count
42,Uint32,I2C_hw_state_error_count,32,-,0,None,0,0,0,I2C_hw_state_error_count,I2C_hw_state_error_count
43,Uint32,I2C_isr_error_count,32,-,0,None,0,0,0,I2C_isr_error_count,I2C_isr_error_count
44,Bit1,Battery_current_direction,1,-,44,Battery,2,1,0,Charging,Battery current direction 1 = charging 0 = discharging
45,Unit10,Battery_current_0,10,mA,45,Battery,2,2,0,Current 0,Battery_current_0
46,Unit10,Battery_current_1,10,mA,46,Battery,2,3,0,Current 1,Battery_current_1
47,Unit10,Battery_current_2,10,mA,47,Battery,2,4,0,Current 2,Battery_current_2
48,Unit10,Battery_voltage_0,10,V,48,Battery,2,5,0,Voltage 0,Battery_voltage_0
49,Unit10,Battery_voltage_1,10,V,49,Battery,2,6,0,Voltage 1,Battery_voltage_1
50,Unit10,Battery_voltage_2,10,V,50,Battery,2,7,0,Voltage 2,Battery_voltage_2
51,Unit10,Battery_temperature,10,C,51,Battery,2,8,0,Temperature,Battery_temperature
52,Unit10,Solar_array_current_0,10,mA,52,Solar Array,3,1,0,Current 0,Solar_array_current_0
53,Unit10,Solar_array_voltage_0,10,V,53,Solar Array,3,2,0,Voltage 0,Solar_array_voltage_0
54,Unit10,Solar_array_voltage_1,10,V,54,Solar Array,3,3,0,Voltage 1,Solar_array_voltage_1
